state,value
Alaska,12
Alabama,708
Arkansas,478
Arizona,104
California,709
Colorado,101
Connecticut,126
District of Columbia,118
Delaware,62
Florida,314
Georgia,950
Hawaii,49
Iowa,45
Idaho,26
Illinois,348
Indiana,131
Kansas,57
Kentucky,424
Liousiana,632
Massachusetts,345
Maryland,309
Maine,21
Michigan,13
Minnesota,66
Missouri,285
Mississippi,351
Montana,71
North Carolina,784
North Dakota,8
Nebraska,34
New Hampshire,24
New Jersey,361
New Mexico,73
Nevada,61
New York,1130
Ohio,438
Oklahoma,132
Oregon,122
Pennsylvania,1040
Rhode Island,52
South Carolina,641
South Dakota,15
Tennessee,335
Texas,755
Utah,43
Virginia,1277
Vermont,26
Washington,105
Wisconsin,1
West Virginia,155
Wyoming,22
Puerto Rico,23
